#node	identifier	node_degree
RPL13	9606.ENSP00000307889	96
RPL13A	9606.ENSP00000375730	94
RPL14	9606.ENSP00000379506	99
RPL15	9606.ENSP00000309334	95
RPL17	9606.ENSP00000463842	91
RPL18	9606.ENSP00000447001	96
RPL18A	9606.ENSP00000222247	100
RPL19	9606.ENSP00000225430	96
RPL21	9606.ENSP00000346027	94
RPL22	9606.ENSP00000346088	92
RPL23	9606.ENSP00000420311	95
RPL23A	9606.ENSP00000389103	99
RPL24	9606.ENSP00000377640	97
RPL26	9606.ENSP00000463784	92
RPL27	9606.ENSP00000464813	95
RPL27A	9606.ENSP00000346015	96
RPL28	9606.ENSP00000452763	93
RPL29	9606.ENSP00000294189	94
RPL3	9606.ENSP00000346001	94
RPL30	9606.ENSP00000428085	100
RPL31	9606.ENSP00000386717	98
RPL32	9606.ENSP00000416429	96
RPL34	9606.ENSP00000378163	94
RPL35	9606.ENSP00000259469	95
RPL35A	9606.ENSP00000495672	93
RPL36	9606.ENSP00000464342	97
RPL36A	9606.ENSP00000404375	93
RPL36A-HNRNPH2	9606.ENSP00000386655	65
RPL37	9606.ENSP00000274242	93
RPL37A	9606.ENSP00000418082	97
RPL38	9606.ENSP00000309830	97
RPL39	9606.ENSP00000355315	92
RPL4	9606.ENSP00000311430	101
RPL41	9606.ENSP00000449026	27
RPL5	9606.ENSP00000359345	97
RPL6	9606.ENSP00000403172	96
RPL7	9606.ENSP00000339795	93
RPL7A	9606.ENSP00000361076	100
RPL8	9606.ENSP00000262584	99
RPL9	9606.ENSP00000494697	95
RPLP0	9606.ENSP00000449328	97
RPLP1	9606.ENSP00000346037	81
RPLP2	9606.ENSP00000431240	82
RPS10	9606.ENSP00000481646	101
RPS11	9606.ENSP00000270625	108
RPS12	9606.ENSP00000230050	105
RPS13	9606.ENSP00000435777	106
RPS14	9606.ENSP00000385958	106
RPS15	9606.ENSP00000466010	105
RPS15A	9606.ENSP00000318646	106
RPS16	9606.ENSP00000367806	108
RPS17	9606.ENSP00000498019	107
RPS18	9606.ENSP00000393241	107
RPS19	9606.ENSP00000470972	109
RPS2	9606.ENSP00000341885	110
RPS20	9606.ENSP00000429374	109
RPS21	9606.ENSP00000345957	106
RPS23	9606.ENSP00000296674	109
RPS24	9606.ENSP00000414321	108
RPS25	9606.ENSP00000435096	106
RPS26	9606.ENSP00000348849	108
RPS27	9606.ENSP00000499044	107
RPS27A	9606.ENSP00000272317	176
RPS28	9606.ENSP00000472469	111
RPS29	9606.ENSP00000379339	105
RPS3	9606.ENSP00000278572	108
RPS3A	9606.ENSP00000346050	109
RPS4X	9606.ENSP00000362744	110
RPS4Y1	9606.ENSP00000250784	82
RPS5	9606.ENSP00000472985	106
RPS6	9606.ENSP00000369757	110
RPS7	9606.ENSP00000495273	111
RPS8	9606.ENSP00000379888	110
RPS9	9606.ENSP00000375632	106
RPSA	9606.ENSP00000389351	107
RSRC2	9606.ENSP00000330188	0
RSRP1	9606.ENSP00000243189	1
RUBCNL	9606.ENSP00000396935	0
S100A16	9606.ENSP00000357695	0
S100A8	9606.ENSP00000357721	4
S100A9	9606.ENSP00000357727	5
SAFB	9606.ENSP00000467423	5
SARAF	9606.ENSP00000256255	0
SASH3	9606.ENSP00000349359	0
SAT1	9606.ENSP00000368572	2
SATB1	9606.ENSP00000399518	2
SBF1	9606.ENSP00000370196	0
SELENOF	9606.ENSP00000328729	0
SELL	9606.ENSP00000498227	4
SEPTIN2	9606.ENSP00000479861	2
SEPTIN6	9606.ENSP00000341524	2
SEPTIN9	9606.ENSP00000391249	3
SERBP1	9606.ENSP00000360034	87
SET	9606.ENSP00000361777	5
SF1	9606.ENSP00000366604	18
